iter	F1	Logloss
362	1	0.04683035306
363	1	0.04657264961
364	1	0.04624934814
365	1	0.04597929805
366	1	0.04589227878
367	1	0.04555831188
368	1	0.04531649624
369	1	0.04501513011
370	1	0.04477383515
371	1	0.0445580635
372	1	0.04412341111
373	1	0.04390936004
374	1	0.04371802472
375	1	0.04360033713
376	1	0.04335691271
377	1	0.04315168737
378	1	0.04297549089
379	1	0.04267113346
380	1	0.04237220328
381	1	0.04222453348
382	1	0.04200235842
383	1	0.04172839738
384	1	0.04140861472
385	1	0.04128383859
386	1	0.04098182917
387	1	0.04080224621
388	1	0.0406479118
389	1	0.0403483166
390	1	0.04023853539
391	1	0.04008804855
392	1	0.0399577633
393	1	0.03972813191
394	1	0.03963212151
395	1	0.0394516891
396	1	0.03919839149
397	1	0.03893164836
398	1	0.03876317415
399	1	0.03857935056
